ID,Perioden,TotaalUitgavenAanbiedersZorg_1,TotaalAanbiedersGezondheidszorg_2,ZiekenhuizenSpecialistenpraktijken_3,VerstrekkersGeestelijkeGezondheidszorg_4,Huisartsenpraktijken_5,Tandartsenpraktijken_6,ParamedischePraktijken_7,TotaalOverigeVerstrekkersGezZorg_8,GemeentelijkeGezondheidsdiensten_9,ArbodienstenEnReintegratiebedrijven_10,LeveranciersVanGeneesmiddelen_11,LeveranciersVanTherapeutischeMiddelen_12,VerstrekkersVanOndersteunendeDiensten_13,VerstrekkersVanOverigeGezondheidszorg_14,TotaalAanbiedersWelzijnszorg_15,VerstrekkersVanOuderenzorg_16,VerstrekkersVanGehandicaptenzorg_17,TotaalOverigeVerstrekkersWelzZorg_18,VerstrekkersVanKinderopvang_19,VerstrekkersVanJeugdzorg_20,Internaten_21,SociaalCultureelWerk_22,VerstrekkersVanOverigeWelzijnszorg_23,BeleidsEnBeheerorganisaties_24,TotaalUitgavenAanbiedersZorg_25,TotaalAanbiedersGezondheidszorg_26,ZiekenhuizenSpecialistenpraktijken_27,VerstrekkersGeestelijkeGezondheidszorg_28,Huisartsenpraktijken_29,Tandartsenpraktijken_30,ParamedischePraktijken_31,OverigeVerstrekkersVanGezondheidszorg_32,TotaalAanbiedersWelzijnszorg_33,VerstrekkersVanOuderenzorg_34,VerstrekkersVanGehandicaptenzorg_35,OverigeVerstrekkersVanWelzijnszorg_36,BeleidsEnBeheerorganisaties_37,TotaalFinancieringsbronnen_38,Overheid_39,Zorgverzekeringswet_40,AWBZ_41,ParticuliereZorgverzekering_42,EigenBetalingen_43,OverigeFinancieringsbronnen_44,UitgavenPerHoofdVanDeBevolking_45,UitgavenAlsPercentageVanHetBBP_46
0,1998JJ00,40678,23474,9892,2262,1318,1190,778,8034,384,742,3363,1638,661,1246,15388,7711,3422,4254,1176,799,758,725,796,1816,40678.0,23474.0,9892.0,2262,1318,1190,778,8034,15388,7711,3422,4254,1816,40678,5504,11763,12732,4814,3454,2411,2590,10.5
1,1999JJ00,43751,25147,10468,2462,1383,1256,867,8713,406,837,3675,1731,750,1314,16660,8104,3681,4876,1348,920,966,780,862,1943,42088.0,24076.0,9908.0,2309,1334,1225,807,8494,16111,7714,3655,4741,1901,43751,6108,12350,13569,5243,3807,2674,2767,10.6
2,2000JJ00,46919,26801,11032,2572,1504,1364,915,9414,439,953,4006,1830,782,1404,18080,8737,3904,5439,1621,1030,1061,815,912,2039,43534.0,24715.0,9932.0,2469,1394,1269,817,8834,16875,8040,3734,5102,1944,46919,6585,13138,14580,5442,4213,2960,2946,10.5
3,2001JJ00,52515,30026,12551,2849,1627,1519,1006,10476,521,1037,4479,1991,905,1543,20294,9905,4274,6116,1829,1166,1238,895,988,2195,45821.0,25664.0,10205.0,2563,1378,1321,813,9385,18148,8585,3989,5574,2009,52515,7409,14709,16255,6145,4649,3345,3273,11.0
4,2002JJ00,58638,33675,14167,3182,1864,1746,1072,11645,608,1230,4867,2100,1129,1711,22642,11312,4984,6346,2066,1123,1170,924,1063,2320,47945.0,26987.0,10758.0,2755,1441,1419,820,9794,18902,9050,4357,5496,2056,58638,7833,16158,18566,7070,4983,4028,3631,11.9
5,2003JJ00,63197,36183,15047,3536,2045,1914,1158,12485,683,1360,5250,2269,1076,1847,24571,12326,5490,6756,2330,1141,1058,1061,1166,2443,50275.0,28182.0,11200.0,3098,1457,1493,845,10088,19973,9650,4692,5631,2120,63197,8148,17088,20332,7751,5513,4365,3895,12.5
6,2004JJ00,65381,37693,16024,3799,2022,1971,1163,12714,677,1315,5251,2407,1159,1905,25075,12499,5776,6801,2658,1133,761,986,1263,2613,51839.0,29564.0,11922.0,3403,1463,1538,849,10388,20034,9885,4825,5324,2241,65381,8148,17112,21106,8665,5849,4500,4016,12.6
7,2005JJ00,67614,39010,16624,4099,2020,1942,1216,13109,688,1245,5482,2446,1237,2011,25821,12868,6015,6937,2793,1143,665,1011,1325,2783,53351.0,30542.0,12478.0,3600,1460,1498,834,10671,20463,10178,4959,5326,2347,67614,8119,17554,22052,9076,7241,3572,4143,12.5
8,2006JJ00,70722,40688,17308,4290,2281,2055,1389,13366,693,1094,5602,2542,1248,2187,27026,13587,6186,7253,3053,1252,571,996,1381,3007,55137.0,31474.0,12883.0,3869,1472,1534,881,10836,21154,10750,5137,5267,2508,70722,8206,26727,23177,2904,6896,2811,4327,12.3
9,2007JJ00,74643,43306,18275,4634,2425,2221,1520,14231,708,1177,6020,2634,1370,2322,28262,13978,6571,7713,3276,1378,535,1070,1454,3074,57420.0,33154.0,13442.0,4149,1561,1623,944,11436,21743,10928,5276,5538,2523,74643,10724,27693,23007,3146,7237,2837,4556,12.3
10,2008JJ00,79755,46553,20261,4899,2444,2418,1610,14921,686,1211,6098,2929,1587,2410,30175,14775,7138,8262,3602,1441,541,1101,1577,3026,59981.0,35205.0,14159.0,4427,1600,1739,977,12303,22352,11108,5638,5606,2423,79755,11328,32325,22169,3154,7913,2866,4850,12.5
11,2009JJ00,83884,48688,21436,5273,2470,2558,1720,15230,707,1260,6204,2670,1769,2620,32195,15211,7802,9183,3943,1819,576,1168,1677,3001,63025.0,36987.0,15074.0,4767,1620,1802,1016,12708,23662,11623,5970,6070,2375,83884,12390,34143,23201,3384,7870,2896,5075,13.6
12,2010JJ00,87342,50831,22690,5401,2494,2638,1807,15802,752,1279,6340,2828,1878,2725,33495,15807,8088,9599,4138,1933,549,1221,1758,3016,64925.0,38507.0,15787.0,4988,1600,1861,1051,13220,24062,11752,6068,6243,2357,87342,12712,35553,24469,3407,8191,3010,5257,13.8
13,2011JJ00,89330,51684,22571,5665,2698,2712,1918,16119,772,1190,6347,3065,1910,2836,34444,16481,8335,9628,4336,1915,481,1118,1778,3202,67120.0,40050.0,16526.0,5236,1646,1897,1108,13638,24624,12127,6422,6075,2446,89330,12909,35871,25368,3736,8544,2903,5351,13.9
14,2012JJ00,92767,52787,23655,5820,2628,2820,1940,15923,775,1096,5812,3214,2035,2992,36771,17866,9270,9634,4275,2020,475,1010,1855,3210,67426.0,40290.0,16984.0,5167,1672,1862,1115,13491,24744,12213,6673,5858,2392,92767,12306,36895,28070,3854,8728,2914,5537,14.5
15,2013JJ00,93901,53850,25018,5999,2671,2680,1892,15590,786,1019,5551,3116,2113,3006,36760,18048,9268,9444,4091,2028,476,955,1894,3291,,,,5167,1697,1794,1073,13269,24736,12410,6677,5648,2393,93901,11374,39989,27444,3648,8536,2911,5596,14.6
